Age,Gender,Height,Weight,BMI,Fat%,Workout_Frequency,Goal,Diet_Type
20.0,1,1.53,67.6,28.9,13.0,2.0,Weight Loss,Low Carb / Low Fat
59.0,1,1.79,65.0,20.3,20.0,4.0,Muscle Gain,Balanced / Plant-Based
31.0,0,1.73,63.6,21.3,27.0,6.0,Maintain,High Protein
19.0,0,1.84,96.7,28.6,29.0,4.0,Muscle Gain,Balanced / Plant-Based
30.0,1,1.59,52.2,,10.0,1.0,Maintain,Balanced / Plant-Based
35.0,0,1.53,90.8,38.8,12.0,2.0,Weight Loss,BALANCED / PLANT-BASED
41.0,1,1.96,88.1,22.9,13.0,3.0,Maintain,Balanced / Plant-Based
43.0,1,1.97,86.4,31.0,22.3,4.0,Maintain,Balanced / Plant-Based
18.0,1,1.53,65.9,28.2,17.0,5.0,Maintain,Balanced / Plant-Based
23.0,0,1.74,89.0,138.2,,6.0,Maintain,Balanced / Plant-Based
27.0,1,1.51,100.8,44.2,13.0,1.0,Maintain,Balanced / Plant-Based
21.0,1,,98.7,33.4,12.0,5.0,Muscle Gain,Balanced / Plant-Based
55.0,0,1.92,68.0,18.4,10.0,5.0,Maintain,Balanced / Plant-Based
32.0,0,1.76,52.7,17.0,21.0,2.0,Muscle Gain,Balanced / Plant-Based
46.0,0,1.91,,21.9,13.0,1.0,Weight Loss,Balanced / Plant-Based
49.0,0,1.68,58.5,20.7,32.0,3.0,Weight Loss,Balanced / Plant-Based
18.0,1,1.64,66.4,24.7,15.0,6.0,Maintain,Balanced / Plant-Based
20.0,1,1.6,72.0,28.1,30.0,5.0,Maintain,
40.0,1,1.84,117.2,34.6,23.0,1.0,Maintain,Balanced / Plant-Based
51.0,1,1.89,91.9,25.7,11.0,3.0,Muscle Gain,
53.0,1,1.74,86.4,28.5,25.0,3.0,,Low Carb / Low Fat
23.0,1,1.93,-204.8,27.5,17.0,5.0,Maintain,Balanced / Plant-Based
39.0,1,1.97,97.0,25.0,14.0,6.0,True,Balanced / Plant-Based
52.0,0,1.51,116.3,51.0,22.0,6.0,Muscle Gain,High Protein
24.0,1,1.83,84.9,25.4,22.0,1.0,,Low Carb / Low Fat
50.0,1,1.98,52.0,13.3,19.0,1.0,Muscle Gain,High Protein
48.0,1,1.61,78.3,30.2,22.0,,Maintain,Balanced / Plant-Based
37.0,0,165cm,87.5 kg,32.1,27.0,4.0,Maintain,Balanced / Plant-Based
41.0,0,1.9,,25.8,27.0,2.0,Weight Loss,Low Carb / Low Fat
,0,1.73,113.3,37.9,34.0,6.0,Muscle Gain,High Protein
41.0,0,1.97,119.7,30.8,29.0,1.0,Weight Loss,Low Carb / Low Fat
57.0,0,1.57,96.2,39.0,18.0,5.0,Weight Loss,Balanced / Plant-Based
19.0,0,1.84,77.0,118.1,,5.0,Weight Loss,Low Carb / Low Fat
59.0,1,1.94,56.8,15.1,22.0,2.0,Maintain,Balanced / Plant-Based
36.0,1,1.61,86.0,33.2,30.0,1.0,Weight Loss,Low Carb / Low Fat
38.0,1,178cm,72.8 kg,23.0,24.0,,Weight Loss,Low Carb / Low Fat
43.0,1,1.88,50.6,14.3,29.0,5.0,Maintain, Balanced / Plant-Based 
46.0,0,1.7,92.2,31.9,15.0,6.0,Muscle Gain,Balanced / Plant-Based
51.0,1,1.86,116.0,33.5,30.0,2.0,Weight Loss,Low Carb / Low Fat
18.0,1,1.79,88.0,27.5,20.0,1.0,Maintain,BALANCED / PLANT-BASED
51.0,0,2.0,53.4,13.4,23.0,4.0,Maintain,Balanced / Plant-Based
45.0,1,1.8,66.2,20.4,34.0,6.0,Maintain,Balanced / Plant-Based
24.0,1,1.65,94.5,34.7,10.0,1.0,Maintain,Balanced / Plant-Based
59.0,1,1.86,50.1,14.5,24.0,6.0,Maintain,
54.0,0,1.52,98.7,42.7,15.0,2.0,Maintain,Balanced / Plant-Based
52.0,0,1.66,51.1,18.5,19.0,3.0,Muscle Gain,
21.0,0,1.8,100.4,31.0,29.0,6.0,Weight Loss,Low Carb / Low Fat
49.0,0,1.62,108.3,41.3,11.0,,Muscle Gain,Balanced / Plant-Based
21.0,0,1.62,110.2,42.0,11.0,2.0,Maintain,Balanced / Plant-Based
54.0,1,1.71,111.2,38.0,21.0,5.0,Weight Loss,Low Carb / Low Fat
36.0,0,1.66,64.7,23.5,21.0,4.0,Maintain,Balanced / Plant-Based
25.0,0,2.0,114.6,28.6,12.0,1.0,Maintain,Balanced / Plant-Based
,1,1.69,84.3,29.5,14.0,3.0,Weight Loss,Low Carb / Low Fat
49.0,1,1.58,58.9,23.6,25.0,3.0,Maintain,Balanced / Plant-Based
19.0,0,1.68,95.0,33.7,29.0,5.0,Muscle Gain,High Protein
33.0,0,1.81,110.1,33.6,29.0,2.0,Weight Loss,Low Carb / Low Fat
56.0,0,1.55,113.0,,25.0,,Maintain,Balanced / Plant-Based
40.0,1,1.65,59.0,115.1,30.0,6.0,Muscle Gain,Balanced / Plant-Based
50.0,0,1.65,98.7,36.3,10.0,5.0,UNKNOWN_@@@,??
59.0,0,1.57,66.1,26.8,27.0,5.0,Maintain,Balanced / Plant-Based
29.0,0,1.54,91.0,38.4,33.0,,Muscle Gain,High Protein
55.0,1,1.93,55.6,14.9,21.0,6.0,Maintain,Balanced / Plant-Based
23.0,1,1.6,55.3,21.6,31.0,6.0,Weight Loss,Balanced / Plant-Based
18.0,1,1.73,83.7,28.0,26.0,2.0,Maintain,Balanced / Plant-Based
45.0,1,1.88,58.4,16.5,29.0,4.0,Muscle Gain,High Protein
44.0,1,1.6,56.0,21.9,23.0,2.0,Weight Loss,Low Carb / Low Fat
42.0,1,1.56,115.9,47.6,25.0,1.0,Muscle Gain,High Protein
21.0,1,1.98,53.1,13.5,30.0,4.0,Weight Loss,Low Carb / Low Fat
47.0,1,1.89,103.9,29.1,12.0,6.0,Muscle Gain,High Protein
56.0,1,1.52,75.4,32.6,28.0,6.0,Muscle Gain,Balanced / Plant-Based
38.0,0,1.66,117.6,42.7,34.0,,Muscle Gain,High Protein
43.0,0,1.74,77.5,25.6,11.0,5.0,Weight Loss,Balanced / Plant-Based
22.0,0,2.0,91.1,22.8,30.0,6.0,Muscle Gain,High Protein
49.0,1,1.96,92.0,23.9,32.0,2.0,Muscle Gain,Balanced / Plant-Based
26.0,1,1.88,95.8,27.1,28.0,5.0,Muscle Gain,
39.0,0,1.82,53.4,16.1,16.0,5.0,Weight Loss,
22.0,0,1.92,90.7,24.6,11.0,2.0,False,Low Carb / Low Fat
29.0,1,1.77,100.6,32.1,18.0,1.0,Muscle Gain,High Protein
39.0,1,1.98,57.9,14.8,25.0,2.0,Maintain,Balanced / Plant-Based
56.0,0,1.76,92.6,29.9,24.0,1.0,Maintain,balanced / plant-based
50.0,1,1.61,59,23.1,31.0,6.0,Maintain,Balanced / Plant-Based
39.0,0,1.91,,26.9,31.0,4.0,Maintain,Balanced / Plant-Based
53.0,1,1.94,71.1,,11.0,4.0,Weight Loss,Low Carb / Low Fat
47.0,0,1.62,77.2,29.4,21.0,2.0,Muscle Gain,High Protein
51.0,0,1.71,93.0,31.8,24.0,6.0,Muscle Gain,High Protein
26.0,0,1.79,77.9,24.3,24.0,6.0,Weight Loss,Low Carb / Low Fat
23.0,0,1.96,107.1,27.9,10.0,3.0,Maintain,Balanced / Plant-Based
25.0,0,1.98,52.7,13.4,32.0,5.0,Weight Loss,Low Carb / Low Fat
52.0,0,1.76,52.2,16.9,22.0,4.0,Muscle Gain, High Protein 
51.0,0,1.73,67.7,22.6,24.0,1.0,Maintain,Balanced / Plant-Based
40.0,0,1.94,55.6,14.8,18.0,2.0,Muscle Gain,High Protein
31.0,1,1.77,81.6,26.0,18.0,6.0,Maintain,Balanced / Plant-Based
56.0,1,1.98,63.6,16.2,16.0,1.0,Muscle Gain,Balanced / Plant-Based
40.0,0,1.72,52.8,17.8,29.0,5.0,Weight Loss,Low Carb / Low Fat
59.0,1,1.67,113.8,40.8,16.0,4.0,Muscle Gain,Balanced / Plant-Based
45.0,0,1.64,117.7,,11.0,2.0,,High Protein
30.0,1,1.77,82.2,26.2,27.0,,Maintain,Balanced / Plant-Based
18.0,0,1.98,95.3,24.3,28.0,2.0,Weight Loss,Low Carb / Low Fat
37.0,0,1.73,111.5,37.3,10.0,3.0,Muscle Gain,High Protein
34.0,0,1.93,89.8,24.1,32.0,5.0,Maintain,Balanced / Plant-Based
55.0,1,1.66,89.9,32.6,13.0,3.0,Weight Loss,
53.0,0,2.0,80.9,20.2,18.0,4.0,Maintain,
54.0,1,1.52,51.4,22.2,20.0,3.0,Maintain,Balanced / Plant-Based
32.0,0,1.93,117.1,31.4,25.0,5.0,Weight Loss,Low Carb / Low Fat
54.0,0,1.69,102.4,35.9,25.0,1.0,Muscle Gain,High Protein
22.0,1,1.94,94.7,25.2,30.0,1.0,Maintain,Balanced / Plant-Based
51.0,0,1.72,118.3,40.0,16.0,4.0,Weight Loss,Low Carb / Low Fat
36.0,0,1.73,70.2,23.5,21.0,6.0,Muscle Gain,High Protein
41.0,0,1.81,92.7,28.3,10.0,6.0,Weight Loss,Balanced / Plant-Based
25.0,1,1.88,82,23.3,30.0,6.0,Maintain,Balanced / Plant-Based
55.0,1,1.87,,25.3,28.0,6.0,Maintain,Balanced / Plant-Based
39.0,0,1.82,87.9,12.0,26.5,3.0,False,High Protein
42.0,1,1.67,95.6,34.3,17.0,6.0,Maintain,Balanced / Plant-Based
44.0,1,1.81,72.6,22.2,23.0,6.0,Maintain,Balanced / Plant-Based
18.0,0,1.59,86.8,34.3,24.0,3.0,Weight Loss, Balanced / Plant / Based 
49.0,0,1.6,98.2,38.4,30.0,2.0,Muscle Gain,High Protein
41.0,1,1.7,107.4,37.2,13.0,3.0,Weight Loss,Balanced / Plant-Based
52.0,1,1.7,52.8,18.3,33.0,,Muscle Gain,High Protein
47.0,0,1.62,73.7,28.1,19.0,3.0,Maintain,Balanced / Plant-Based
37.0,1,1.67,80.4,28.8,11.0,2.0,Muscle Gain,High Protein
44.0,0,1.75,74.0,24.2,21.0,2.0,Muscle Gain,Balanced / Plant-Based
27.0,0,1.97,55.3,14.2,23.0,1.0,Weight Loss,Balanced / Plant-Based
29.0,1,1.77,113.7,36.3,11.0,4.0,Maintain,Balanced / Plant-Based
30.0,1,1.97,53.5,13.8,31.0,3.0,Maintain,Balanced / Plant-Based
33.0,0,1.76,67.5,,18.0,4.0,Maintain,Balanced / Plant-Based
19.0,1,1.93,92.8,24.9,19.0,2.0,Weight Loss, Low Carb / Low Fat 
51.0,0,1.52,92.3,39.9,23.0,3.0,Maintain,Balanced / Plant-Based
20.0,1,1.62,87.7,33.4,14.0,4.0,Weight Loss, Low Carb / Low Fat 
39.0,0,1.67,73.4,26.3,24.0,1.0,Muscle Gain,High Protein
30.0,1,1.74,106.7,35.2,34.0,2.0,Weight Loss,Low Carb / Low Fat
19.0,0,1.64,54.2,,12.0,1.0,Maintain,Balanced / Plant-Based
27.0,0,1.6,112.9,44.1,32.0,6.0,True,Low Carb / Low Fat
25.0,0,1.75,51.7,16.9,27.0,1.0,Maintain,Balanced / Plant-Based
32.0,1,1.99,99.7,25.2,25.0,2.0,Muscle Gain,High Protein
44.0,1,1.6,109.2,42.7,11.0,5.0,Muscle Gain,High Protein
40.0,1,1.62,51.7,19.7,33.0,1.0,Maintain,Balanced / Plant-Based
44.0,1,1.67,68.4,24.5,25.0,3.0,Maintain,Balanced / Plant-Based
24.0,0,1.65,103.5,38.0,32.0,3.0,Weight Loss,Low Carb / Low Fat
41.0,0,1.61,64.5,24.9,24.0,4.0,Weight Loss,Low Carb / Low Fat
36.0,1,1.62,97.2,37.0,20.0,3.0,Weight Loss,Low Carb / Low Fat
28.0,0,1.61,115.3,44.5,24.0,1.0,Weight Loss,Low Carb / Low Fat
43.0,0,1.87,111.0,,34.0,3.0,Muscle Gain,Balanced / Plant-Based
35.0,1,1.75,118.1,38.6,19.0,5.0,Muscle Gain,High Protein
53.0,1,1.75,103.74666566321362,33.9,30.0,2.0,Weight Loss,Balanced / Plant-Based
32.0,0,1.68,63.9,22.6,33.0,1.0,Muscle Gain,High Protein
48.0,0,1.67,113.6,,34.0,,Muscle Gain,High Protein
35.0,0,1.79,92.5,28.9,10.0,4.0,Muscle Gain,High Protein
58.0,0,1.58,56.8,22.8,32.0,6.0,Maintain, Balanced / Plant-Based 
45.0,0,1.69,108.7,38.1,16.0,1.0,Weight Loss,Low Carb / Low Fat
51.0,0,1.88,102.1,28.9,19.0,6.0,Maintain,Balanced / Plant-Based
31.0,0,1.64,118.6,44.1,29.0,5.0,Muscle Gain,High Protein
42.0,0,1.66,84.4,30.6,29.0,4.0,Muscle Gain,High Protein
43.0,1,1.87,79.3,22.7,20.0,1.0,Weight Loss,Balanced / Plant-Based
49.0,1,1.94,98.1,26.1,29.0,,Muscle Gain,Balanced / Plant-Based
22.0,1,1.8,50.8,15.7,26.0,2.0,Muscle Gain,Balanced / Plant-Based
57.0,1,1.67,88.6,31.8,28.0,3.0,Weight Loss,Low Carb / Low Fat
50.0,0,1.53,92.0,39.3,30.0,1.0,Maintain,Balanced / Plant-Based
29.0,1,1.65,98.4,36.1,16.0,3.0,Weight Loss,Low Carb / Low Fat
25.0,1,1.94,63.3,16.8,25.0,4.0,Muscle Gain,Balanced / Plant-Based
57.0,1,1.68,55.1,19.5,15.0,2.0,Muscle Gain, High Protein 
19.0,0,1.62,101.7,38.8,14.0,3.0,Weight Loss,Low Carb / Low Fat
41.0,1,1.5,51.3,22.8,17.0,1.0,Weight Loss,Low Carb / Low Fat
19.0,0,1.81,84.7,25.9,18.0,1.0,Weight Loss,Balanced / Plant-Based
21.0,1,1.94,112.1,29.8,25.0,2.0,Muscle Gain,High Protein
46.0,0,1.96,104.4,27.2,19.0,3.0,Muscle Gain,High Protein
59.0,0,1.66,87.4,145.1,16.0,6.0,Muscle Gain,
53.0,0,1.54,86.0,36.3,16.0,4.0,Weight Loss,Low Carb / Low Fat
57.0,1,1.5,115.0,51.1,27.0,5.0,Maintain,Balanced / Plant-Based
49.0,1,1.62,77.3,29.5,28.0,2.0,Weight Loss,Balanced / Plant-Based
48.0,1,1.99,80.9,20.4,29.0,1.0,Muscle Gain,High Protein
46.0,1,1.67,81.8,29.3,31.0,3.0,Maintain,Balanced / Plant-Based
50.0,1,1.54,62.2,26.2,31.0,4.0,Maintain,Balanced / Plant-Based
27.0,1,2.0,69.6,17.4,30.0,3.0,,Balanced / Plant-Based
52.0,1,1.77,52.9,16.9,17.0,2.0,Maintain,Balanced / Plant-Based
52.0,1,1.95,96.3,25.3,28.0,6.0,Weight Loss,Balanced / Plant-Based
37.0,1,1.68,113.8,40.3,11.0,3.0,Muscle Gain,High Protein
29.0,0,1.52,95.8,41.5,24.0,3.0,Muscle Gain, HighProtein 
57.0,0,1.92,94.4,25.6,14.0,6.0,Muscle Gain,Balanced / Plant-Based
30.0,1,1.98,,18.8,23.0,3.0,Maintain,Balanced / Plant-Based
18.0,1,1.5,109.7,48.8,20.0,3.0,Muscle Gain,Balanced / Plant-Based
38.0,0,1.57,52.2,21.2,28.0,4.0,Muscle Gain,High Protein
20.0,0,1.9,58.8,,27.0,2.0,Maintain,Balanced / Plant-Based
28.0,1,1.88,59.5,16.8,27.0,6.0,Weight Loss,Low Carb / Low Fat
30.0,0,1.63,85.3,32.1,20.0,,Maintain,Balanced / Plant-Based
34.0,1,1.95,90.6,,24.0,4.0,Muscle Gain,Balanced / Plant-Based
58.0,0,1.87,,27.9,18.0,6.0,Weight Loss,Low Carb / Low Fat
,0,1.91,106.9,29.3,10.0,4.0,Weight Loss,Balanced / Plant-Based
32.0,1,1.51,106.8,25.0,190.39999999999998,5.0,Muscle Gain,High Protein
42.0,0,1.69,100.1,35.0,30.0,2.0,Weight Loss,Balanced / Plant-Based
39.0,0,,73.7,24.9,23.0,6.0,Maintain,Balanced / Plant-Based
58.0,0,1.72,107.4,36.3,27.0,6.0,Weight Loss,Balanced / Plant-Based
34.0,1,1.59,65.7,26.0,16.0,5.0,Weight Loss,Balanced / Plant-Based
29.0,0,1.55,102.8,,33.0,2.0,Weight Loss,Low Carb / Low Fat
36.0,0,1.79,96.5,30.1,34.0,4.0,Muscle Gain,Balanced / Plant-Based
36.0,1,1.51,78.6,34.5,20.0,3.0,Maintain,Balanced / Plant-Based
19.0,1,1.53,72.2,30.8,27.0,2.0,Maintain,Balanced / Plant-Based
50.0,0,1.51,110.5,48.5,25.0,2.0,Muscle Gain,High Protein
33.0,0,1.52,88.7,38.4,24.0,1.0,Muscle Gain,High Protein
36.0,0,1.62,91.0,34.7,22.0,3.0,Weight Loss,Low Carb / Low Fat
21.0,1,1.74,64.9,21.4,27.0,4.0,Muscle Gain,High Protein
19.0,0,,74.1,19.3,16.0,3.0,Muscle Gain,Balanced / Plant-Based
34.0,1,1.76,82.5,26.6,26.0,5.0,Maintain,Balanced / Plant-Based
18.0,0,1.57,99.4,40.3,20.0,3.0,Weight Loss,Low Carb / Low Fat
53.0,0,1.64,111.7,41.5,30.0,5.0,Maintain,Balanced / Plant-Based
49.0,1,1.68,87.9,,23.0,1.0,Weight Loss,Low Carb / Low Fat
44.0,1,1.98,115.2,29.4,12.0,3.0,Weight Loss,Balanced / Plant-Based
59.0,0,1.85,114.3,33.4,32.0,1.0,Weight Loss,Balanced / Plant-Based
54.0,1,1.98,117.5,30.0,10.0,2.0,Maintain,Balanced / Plant-Based
44.0,1,1.74,119.7,39.5,21.0,5.0,Weight Loss,Low Carb / Low Fat
58.0,1,1.5,96.0,42.7,22.0,2.0,Maintain,Balanced / Plant-Based
51.0,1,1.8,86.8,26.8,10.0,6.0,Muscle Gain,Balanced / Plant-Based
36.0,0,1.54,71.5,30.1,34.0,6.0,Maintain,Balanced / Plant-Based
21.0,1,1.55,88.4,36.8,24.0,1.0,Maintain,Balanced / Plant-Based
25.0,1,0,62.4,16.9,23.0,1.0,Weight Loss,Low Carb / Low Fat
37.0,0,1.88,106.8,30.2,14.0,3.0,maintain,Balanced / Plant-Based
45.0,0,1.75,77.7,25.4,23.0,1.0,Muscle Gain,High Protein
48.0,0,1.65,68.3,,12.0,2.0,Weight Loss,Low Carb / Low Fat
56.0,1,1.68,51.1,18.1,20.0,2.0,Weight Loss,Balanced / Plant-Based
,0,171cm,50.8 kg,17.4,13.0,2.0,Muscle Gain,Balanced / Plant-Based
20.0,0,1.91,53.3,14.6,22.0,6.0,Weight Loss,Low Carb / Low Fat
26.0,1,1.7,75.7,26.2,22.0,1.0,Weight Loss,Low Carb / Low Fat
38.0,0,1.97,87.0,22.4,,,Muscle Gain,Balanced / Plant-Based
37.0,0,1.84,113.8,,13.0,4.0,Muscle Gain,High Protein
35.0,0,1.74,100.1,33.1,29.0,6.0,Weight Loss,
37.0,1,1.61,116.9,45.1,25.0,1.0,Muscle Gain,High Protein
49.0,1,1.66,97.6,35.4,17.0,1.0,Maintain,Balanced / Plant-Based
48.0,0,2.0,114.0,,30.0,4.0,Muscle Gain,High Protein
33.0,0,1.79,58.4,104.6,27.0,1.0,Weight Loss,Low Carb / Low Fat
41.0,1,1.68,68.5,24.3,22.0,4.0,Maintain, Balanced / Plant-Based 
25.0,1,1.63,95.9,36.1,17.0,4.0,MG,High Protein
38.0,1,1.62,73.1,27.9,20.0,2.0,Muscle Gain,High Protein
22.0,0,1.75,61.9,20.2,15.0,3.0,Weight Loss,Low Carb / Low Fat
39.0,0,1.71,90.2,30.8,18.0,4.0,Weight Loss,Balanced / Plant-Based
30.0,1,1.73,113.9,,27.0,3.0,Maintain,Balanced / Plant-Based
41.0,1,1.95,115.3,30.3,13.0,1.0,Weight Loss,Low Carb / Low Fat
18.0,1,1.94,85.8,,28.0,2.0,Maintain,Balanced / Plant-Based
21.0,1,1.55,92.1,38.3,16.0,4.0,Weight Loss,Low Carb / Low Fat
44.0,0,1.83,108.1,32.3,10.0,2.0,Maintain,Balanced / Plant-Based
28.0,0,1.72,79.8,27.0,23.0,1.0,Weight Loss,Balanced / Plant-Based
20.0,1,1.75,114.3,37.3,23.0,5.0,Muscle Gain,High Protein
47.0,0,1.96,111.2,28.9,14.0,1.0,Weight Loss,Low Carb / Low Fat
57.0,1,1.58,56.5,22.6,27.0,5.0,Weight Loss,Low Carb / Low Fat
51.0,1,1.82,63.4,19.1,18.0,2.0,Weight Loss,Low Carb / Low Fat
20.0,0,1.62,87.1,33.2,17.0,6.0,Muscle Gain,High Protein
27.0,1,1.96,64.5,16.8,16.0,5.0,Weight Loss,Low Carb / Low Fat
34.0,0,1.81,55.5,16.9,29.0,1.0,Weight Loss,Low Carb / Low Fat
27.0,0,1.91,52.5,14.4,13.0,4.0,Maintain,Balanced / Plant-Based
37.0,1,1.56,52.6,21.6,18.0,5.0,Muscle Gain,Balanced / Plant / Based
24.0,1,1.6,115.8,45.2,11.0,5.0,Maintain, Balanced / Plant-Based 
42.0,1,1.99,55.9,14.1,27.0,3.0,Weight Loss,Low Carb / Low Fat
56.0,0,1.78,64.5,20.4,31.0,4.0,Maintain,Balanced / Plant-Based
54.0,0,1.63,64.9,24.4,14.0,4.0,Maintain, Balanced / Plant-Based 
53.0,0,1.76,50.7,16.4,27.0,2.0,Muscle Gain,High Protein
27.0,0,192cm,55.8 kg,15.1,33.0,3.0,Muscle Gain,High Protein
37.0,0,1.55,79.8,33.2,30.0,5.0,Weight Loss,Low Carb / Low Fat
56.0,0,1.88,66.5,18.8,32.0,,Weight Loss,Low Carb / Low Fat
19.0,1,,93.7,30.6,29.0,6.0,Muscle Gain,Balanced / Plant-Based
23.0,1,1.53,55.8,23.8,25.0,4.0,Muscle Gain,High Protein
41.0,0,1.66,63.2,22.9,25.0,3.0,Maintain,balanced / plant-based
52.0,0,1.56,93.3,38.3,19.0,3.0,Muscle Gain,High Protein
52.0,1,1.91,100.0,27.4,26.0,3.0,Weight Loss,Low Carb / Low Fat
26.0,1,1.72,89.4,30.2,25.0,5.0,Maintain,Balanced / Plant-Based
47.0,1,1.5,57.9,25.7,29.0,1.0,Weight Loss,Balanced / Plant-Based
22.0,0,1.93,64.2,17.2,31.0,1.0,Muscle Gain,High Protein
43.0,0,1.52,76.6,33.2,11.0,4.0,Maintain,Balanced / Plant-Based
46.0,1,1.9,99.3,27.5,22.0,1.0,Weight Loss,Low Carb / Low Fat
25.0,1,1.87,-127.6,18.2,27.0,6.0,Muscle Gain,High Protein
39.0,0,1.9,111.9,31.0,20.0,6.0,Maintain,Balanced / Plant-Based
42.0,1,1.8,117.3,36.2,14.0,6.0,Weight Loss,Low Carb / Low Fat
46.0,1,1.84,105.7,31.2,14.0,6.0,Maintain,Balanced / Plant-Based
18.0,1,1.85,77.8,22.7,27.0,5.0,Maintain,
42.0,0,1.53,59.9,25.6,30.0,3.0,Maintain,Balanced / Plant-Based
56.0,1,1.62,59.39967378215836,22.6,12.0,5.0,Muscle Gain,High Protein
,0,1.5,116.2,51.6,26.0,3.0,Weight Loss,Low Carb / Low Fat
57.0,0,1.97,100.2,25.8,23.0,3.0,Muscle Gain,Balanced / Plant-Based
52.0,0,1.83,95.1,28.4,19.0,1.0,Weight Loss,Balanced / Plant-Based
43.0,1,1.65,80.2,29.5,15.0,5.0,Maintain,Balanced / Plant-Based
38.0,1,1.77,51.3,16.4,29.0,3.0,Muscle Gain,High Protein
52.0,0,186cm,52.8 kg,15.3,20.0,6.0,Maintain,Balanced / Plant-Based
38.0,1,1.85,89.0,26.0,22.0,2.0,Muscle Gain,Balanced / Plant-Based
44.0,1,1.61,,39.4,14.0,5.0,Muscle Gain,Balanced / Plant-Based
34.0,1,1.77,61.8,19.7,29.0,3.0,Maintain,Balanced / Plant-Based
48.0,1,1.96,100.2,26.1,,5.0,Muscle Gain,High Protein
25.0,1,1.69,78.8,,13.0,4.0,Maintain,Balanced / Plant-Based
58.0,0,1.96,64.5,,27.0,5.0,Weight Loss,Low Carb / Low Fat
35.0,1,1.88,84.5,23.9,24.0,4.0,Weight Loss,Balanced / Plant-Based
43.0,1,,119.7,45.1,23.0,3.0,Weight Loss,Low Carb / Low Fat
58.0,0,1.71,84.9,29.0,28.0,6.0,Weight Loss,Balanced / Plant-Based
48.0,1,1.58,98.0,,28.0,6.0,Maintain,Balanced / Plant-Based
47.0,0,1.77,84.5,27.0,31.0,5.0,Maintain,Balanced / Plant-Based
55.0,0,1.92,70.6,19.2,14.0,6.0,,Balanced / Plant-Based
32.0,0,1.55,118.0,49.1,20.0,4.0,Muscle Gain,High Protein
35.0,0,155cm,72.4 kg,30.1,22.0,1.0,Maintain,Balanced / Plant-Based
,1,1.81,69.0,21.1,25.0,3.0,Weight Loss,Balanced / Plant-Based
20.0,1,1.98,94.6,24.1,18.0,3.0,Weight Loss,Low Carb / Low Fat
55.0,0,1.82,68.1,20.6,19.0,3.0,Weight Loss,Low Carb / Low Fat
40.0,1,1.64,110.8,41.2,21.0,3.0,Maintain,Balanced / Plant-Based
33.0,0,1.84,83.8,24.8,33.0,4.0,Muscle Gain,
18.0,0,1.97,94.6,24.4,11.0,1.0,Muscle Gain,High Protein
37.0,1,1.75,61.6,20.1,25.0,1.0,Muscle Gain,High Protein
38.0,1,1.76,116.4,37.6,33.0,1.0,Weight Loss,Low Carb / Low Fat
36.0,1,1.83,70.0,20.9,22.0,2.0,Muscle Gain,Balanced / Plant-Based
45.0,1,1.64,90.3,33.6,32.0,2.0,,Low Carb / Low Fat
27.0,0,1.71,92.9,31.8,11.0,2.0,Maintain,Balanced / Plant-Based
58.0,0,1.93,111.0,29.8,29.0,6.0,Weight Loss,Balanced / Plant-Based
41.0,1,1.77,114.8,36.6,20.0,2.0,weight_loss,High Protein
29.0,1,1.75,50.0,16.3,12.0,5.0,Maintain,Balanced / Plant-Based
46.0,1,1.93,71.4,19.2,26.0,4.0,Muscle Gain,High Protein
53.0,1,1.81,80.5,24.6,14.0,3.0,Weight Loss,Low Carb / Low Fat
46.0,1,1.98,97.7,24.9,27.0,4.0,Muscle Gain,High Protein
22.0,1,1.68,63.9,22.6,29.0,5.0,Muscle Gain,High Protein
33.0,1,1.71,107.7,36.8,,3.0,Maintain,Balanced / Plant-Based
31.0,1,,70.1,29.6,34.0,1.0,Muscle Gain,High Protein
31.0,1,1.87,115.4,33.0,31.0,2.0,Muscle Gain,High Protein
21.0,1,1.55,96.1,40.0,17.0,3.0,Weight Loss,Low Carb / Low Fat
31.0,1,1.81,55.5,16.9,32.0,6.0,Weight Loss,Low Carb / Low Fat
39.0,0,1.81,105.7,32.3,34.0,3.0,Maintain,Balanced / Plant-Based
35.0,0,1.97,69.5,17.9,18.0,6.0,Weight Loss,Low Carb / Low Fat
52.0,1,1.61,72.6,28.0,31.0,6.0,Weight Loss,Balanced / Plant-Based
59.0,1,1.76,55.9,18.0,29.0,2.0,Muscle Gain,Balanced / Plant-Based
50.0,0,0,100.4,27.5,12.0,6.0,Weight Loss,Low Carb / Low Fat
52.0,1,1.63,116.1,43.7,19.0,5.0,Maintain,Balanced / Plant-Based
43.0,0,,67.2,19.0,14.0,6.0,Muscle Gain,High Protein
45.0,0,,99.0,26.6,26.0,1.0,Muscle Gain,High Protein
28.0,1,1.71,101.5,,22.0,2.0,Maintain,Balanced / Plant-Based
29.0,1,1.92,116.5,31.6,23.0,,Weight Loss,Low Carb / Low Fat
57.0,0,1.82,70,21.1,12.0,1.0,Weight Loss,
53.0,1,1.68,90.3,32.0,26.0,4.0,Muscle Gain,High Protein
51.0,1,1.97,98.0,25.3,11.0,1.0,,Balanced / Plant-Based
49.0,1,1.97,116.2,29.9,10.0,6.0,Maintain, Balanced / Plant-Based 
56.0,0,1.61,82.3,31.8,21.0,6.0,Weight Loss, Low Carb / Low Fat 
35.0,0,1.62,77.2,29.4,21.0,5.0,WL,High Protein
